Pto. El Espinillo	埃尔埃斯皮尼约村
General Baldissera	巴尔迪塞拉将军村
Colonia La Leoncita	拉莱翁西塔移民村
Ea. El Dormilón	埃尔多尔米隆庄园
Ea. Sta. Florida	弗洛里达小姐庄园
Ea. Arrastegui	阿拉斯特吉庄园
Aeródromo D. Hector Biondi	埃克托尔比翁迪机场
Colonia Barge	巴尔赫移民镇
Ea. Los Tamariscos	洛斯-塔马里斯科斯庄园
Ea. El Triunvirato	埃尔-特里温比拉托庄园
Lag. El Trébol	埃尔特雷沃尔湖
Ea. Santos Vega	圣托斯贝加庄园
Colonia Los Alfalfares	洛斯-阿尔法尔法雷斯移民村
Ea. Las Cortaderas	拉斯-科尔塔德拉斯庄园
Cap. Grl. Bernardo o Higgins	贝尔纳尔多将军镇（伊格欣斯镇）
Colonia Italiana	意大利镇
Colonia Sta. Lucía	露西亚小姐移民村
Aeródromo Corral de Bustos	布斯托斯机场
Chañar Ladeado	查尼亚尔-拉德阿多村
Cavanagh	卡瓦纳格镇
Guatimozín	瓜蒂莫辛村
Arias	阿里亚斯村
Alejo Ledesma	阿莱霍莱德斯马村
Ea. Fortín Las Tunas	福尔延-拉斯-图纳斯庄园
Colonia La Carolina	拉卡罗丽娜移民村
Lag. Las Tunas	拉斯图纳斯湖
Ea. Las Divisas	拉斯迪维萨斯庄园
Alm. Las Colonias	拉斯科洛尼亚斯仓库
Lag. del Overo	奥韦罗湖
Alm. El Triángulo	埃尔特里安古洛仓库
Lag. La Aurora	拉奥罗拉湖
Ea. La Victoria 2a	拉维多利亚二世庄园
Bouquet	博克特
Est. Iturraspe	伊图拉斯佩火车站
Las Rosas	拉斯罗萨斯市
Aeródromo Las Rosas	拉斯罗萨斯机场
Ea. Las Lomas	拉斯洛马斯庄园
Orión	奥里翁村
La California	拉卡利福尔尼亚村
Ea. La Amada	拉阿马达庄园
Montes de Oca	奥卡山
Fca. Las Tijeras	拉斯蒂赫拉斯村
Cña. Las Merceditas	拉斯-梅尔塞迪塔斯小溪
Canal Aliviador Tortuguitas	阿利维亚多尔-托尔图吉塔斯运河
Fca. La María	拉玛利亚村
Las Parejas	拉斯帕雷哈斯村
Tortugas	托尔图加斯村
Armstrong	阿尔姆斯特翁格村
Cda. Baja de los Leones	巴哈-德洛斯莱奥内斯小溪
Chinchurreta	钦丘雷塔村
Cañada de Gómez	卡尼亚达德戈麦斯市
San Estanislao	圣埃斯塔尼斯劳村
Villa Eloisa	埃洛伊萨村
San Ricardo	圣理查尔德村
Ea. Los Suspiros	洛斯苏斯皮罗斯庄园
Arteaga	阿尔特阿加村
Lag. d. l. Mojarras	莫哈拉斯湖
San José de la Esquina	圣何塞-德拉埃斯基纳村
Campo Nuevo República Palencia	帕伦西亚共和新原
Las Cuatro Esquinas	拉斯-夸特罗-埃斯基纳斯
Ea. La Peregrina	拉佩雷格里纳庄园
Godeken	戈德肯镇
Berabevú	贝拉韦武村
Los Nogales	洛斯诺加莱斯镇
Fca. La Ercilla	拉埃尔西亚村
Arequito	阿雷基托村
Paraje La Viuda	帕拉赫拉比乌达村
Hansen	安森村
A. Leones	莱奥内斯溪
Chabás	查瓦斯村
Ea. La Lérida	拉莱里达庄园
Ea. Burky	布尔基庄园
Cda. del Saladillo	萨拉迪约小溪
Ea. Las Chozas	拉斯乔萨斯庄园
Villada	比亚达村
Ea. Las Islas	拉斯伊斯拉斯庄园
Cafferata	卡费拉塔村
Ea. María Teresa	玛利亚特蕾莎庄园
Ea. La Indiana	拉因迪亚纳庄园
Cañada del Ucle	卡尼亚-德尔乌克莱镇
Villa Regules	雷古来斯村
Aeroclub Firmat	菲尔马特航空俱乐部
Firmat	菲尔马特镇
Villa Fredriksson	弗雷德里克松村
Ea. Las Ramadas	拉斯拉马达斯庄园
Quesería La Rinconada	克塞里亚-拉-林科纳达村
Est. El Cantor	埃尔坎托尔火车站
Cña. El Cantor	埃尔坎托尔小溪
San Francisco de Santa Fe	圣弗朗西斯科-德圣费镇
Ea. San Daniel	圣丹尼尔庄园
Sta. Isabel	伊莎贝尔小姐
Ea. La Pluma	拉普卢马庄园
Aeródromo La Siesta	拉谢斯塔机场
Ea. La Belga	拉贝尔加庄园
Lag. La Badenia	拉巴德尼亚湖
Maggiolo	马格希奥洛村
Ea. La Blanquita	拉布兰基塔庄园
Ea. Invernadas	因贝尔纳达斯庄园
San Eduardo	圣爱德华多镇
Lag. San Eduardo	圣爱德华多湖
Ea. La Central	拉森特拉尔庄园
Ea. La Magdalena	拉马格达莱纳庄园
Ea. María Amelia	玛利亚阿梅利亚庄园
Ea. Las Retamas	拉斯雷塔马斯庄园
Lag. Balnearia	巴尔内阿里亚湖
Ea. La Británica	拉布里塔尼卡庄园
Ea. Los Robles	洛斯罗夫莱斯庄园
Ea. La Florcita	拉弗洛尔西塔庄园
La Chispa	拉奇斯帕镇
Semillero Sta. Teresita	塞米耶罗-特雷西塔小姐村
Murphy	穆尔皮村
Aeródromo Venado Tuerto	贝纳多图埃尔托机场
Venado Tuerto	贝纳多图埃尔托村
Villa Divisa de Mayo	迪维萨德马约村
Ea. La Blanqueada	拉拉布兰克阿达庄园
Ea. El Centenario	埃尔森特纳里奥庄园
Secimdario	塞西姆达里奥河
Chovet	乔韦特村
Carmen	卡门
Est. El Jardín	埃尔哈尔丁火车站
Lag. La Larga	拉拉尔加湖
Secundario 4	4号塞昆达里奥河
Elortondo	埃洛尔通多村
Ea. El Alamiro	埃尔阿拉米罗庄园
Carmen	卡门村
Est. Dv. Km 158	158公里火车站
Aeródromo Savesa	萨韦萨机场
Lag. Potrero Santa María	波特雷罗-圣-玛利亚湖
Runcimán	伦西曼村
Est. Runcimán	伦西曼火车站
Ea. San Alberto	圣阿尔维尔托庄园
Chapuy	查普伊镇
Establ. Los Alamos	埃斯塔夫莱西缅托-洛斯-阿拉莫斯村
Est. Rast. Fournier	拉斯特福尔涅尔火车站
Santa Isabel	圣伊莎贝尔村
Ea. Los Dos Hermanas	洛斯-多斯-埃尔马纳斯庄园
Rast. Fournier	拉斯特福尔涅尔村
4 de Febrero	2月4日村
Santa Emilia	圣艾米莉亚村
Est. Santa Emilia	圣艾米莉亚火车站
Km 304	304公里村
Ea. La Dolores	拉多洛雷斯庄园
Miguel Torres	米格尔托雷斯镇
Est. San Urbano	圣乌尔瓦诺火车站
Melincúe	梅林库埃市
Club Náutico Melincué	梅林库埃海事俱乐部
Lag. Melincué	梅林库埃湖
Ea. Santa Margarita	圣马尔加里塔庄园
Lagunas de Moreno	莫雷诺湖
Ea. Tinamús	蒂纳穆斯庄园
Ea. La Sofía	拉索菲亚庄园
Ea. El Aguiluz	埃尔阿吉鲁斯庄园
Establ. San Carlos	埃斯塔夫莱西缅托-圣-卡洛斯村
Maciel	马谢尔村
Pt. Gaboto	加沃托桥
I. El Pelado	埃尔佩拉多岛
Parque Nacional Islas de Santa Fe	圣费岛国家公园
Classon	克拉松镇
Bajo Los Leones	巴霍洛斯莱奥内斯河
Fca.	芬卡村
Carrizales	卡里萨莱斯村
Est. Clarke	克拉尔克火车站
Autopista Brigadier Grl. López	洛佩斯将军旅长高速公路
Carretera J. de Garay	加赖公路
Casa Religiosa	卡萨雷利希奥萨村
Oliveros	奥利韦罗斯村
Totoras	托托拉斯村
Larguía	拉尔吉亚村
A. Bajo del Arbol	巴霍-德尔阿尔沃尔溪
Ea. Don Juan	唐胡安庄园
Villa Deportiva Club Totoras	托托拉斯体育俱乐部村
Serodino	塞罗迪诺村
A. Bajo de los Perros	巴霍-德洛斯佩罗斯溪
Canalizado	卡纳利萨多运河
Ea. Milano	米拉诺庄园
Establ. Dena Ona	埃斯塔夫莱西缅托-德纳-奥纳村
Salto Grande	萨尔托镇大
Lucio V. López	卢西奥洛佩斯镇
Bustinza	布斯延萨村
Cnia. El Carmen	埃尔卡门移民村
Establ. La Silesia	埃斯塔夫莱西缅托-拉-西莱西亚村
Establ. Los Olmos	埃斯塔夫莱西缅托-洛斯-奥尔莫斯村
Establ. Medina	埃斯塔夫莱西缅托-梅迪纳村
Balneario Parque Sarmiento	巴尔内阿里奥-萨尔缅托公园
Carcarañá	卡尔卡拉尼亚村
Balneario El Arrayán	巴尔内阿里奥-埃尔-阿拉扬村
A. Cañada de Gómez	卡尼亚达-德戈麦斯溪
Correa	科雷阿村
Berreta	贝雷塔镇
I. del Corrento	科伦托岛
I. de los Pájaros	帕哈罗斯岛
Bajada del Quebracho	克夫拉乔低地
TimBúes	蒂姆布埃斯镇
Est. Km 135	135公里火车站
Pueblo Andino	安第斯村
San Lorenzo	圣洛伦索市
Ricardone	里卡尔多内镇
Est. La Salada	拉萨拉达火车站
Cda. La Salada	拉萨拉达小溪
Luis Palacios	路易斯-帕拉西奥斯村
Ea. Sta. Paula	保拉小姐庄园
San Jerónimo Sur	南圣赫罗尼莫村
Establ. Avícola Don Otto	埃斯塔夫莱西缅托-阿维科拉-唐-奥托村
Roldán	罗尔丹村
Ea. Fresia	弗雷西亚庄园
Pujato	普哈托村
Humberto 1°	1号温贝尔托村
Coronel Arnold	阿尔诺尔德上校村
Cda. Candelaria	坎德拉里亚小溪
Ea. La Buena Vista	拉布埃纳比斯塔庄园
Alm. La Elvira	拉埃尔维拉仓库
Fuentes	丰特斯村
Cda. Fuentes	丰特斯小溪
Ea. Alta Gracia	阿尔塔格拉西亚庄园
Chac.	查克村
Villa Mugueta	穆格塔村
Malzales Alm.	马尔萨莱斯仓库
Chac. Santa Catalina	圣卡塔丽娜村
Desmochada Aldera	德斯莫查达-阿尔德拉村
Ea. Sta. Casilda	卡西尔达小姐庄园
Ea. La Cautiva	拉考蒂瓦庄园
Chac. La Rosita	拉罗西塔村
Casilda	卡西尔达市
Ea. La Julia	拉胡利亚庄园
Emp. R. Melincué	梅林库埃
Los Molinos	洛斯莫利诺斯村
Ea. El Mirador	埃尔米拉多尔庄园
Sanford	桑弗尔德村
Ea. El Ruiseñor	埃尔-鲁伊塞尼奥尔庄园
Bigand	比甘德村
Ibarlucea	伊瓦尔卢塞阿镇
Ea. Cuatro Ojos	夸特罗奥霍斯庄园
Aerop. Inter. Islas Malcinas	伊斯拉斯-马尔西纳斯国际机场
Funes	富内斯村
Pda. Aeroclub Rosario	罗萨里奥航空俱乐部
A. Ludueño	卢杜埃尼奥溪
Pérez	佩雷斯村
Zavalla	萨瓦亚村
Va. América	美洲村
Soldini	索尔迪尼镇
Hume	乌梅镇
Est. Soldini	索尔迪尼火车站
Alvear	阿尔韦阿尔镇
Ap. La Carolina	拉卡罗丽娜
Monte Flores	蒙特夫洛雷斯镇
Pueblo Esther	埃斯特尔镇
General Lagos	拉戈斯将军镇
Piñero	皮涅罗镇
Alvarez	阿尔瓦雷斯村
Colonia Alvarez	阿尔瓦雷斯移民村
A. Frías	弗里亚斯溪
Cnia. Tomás y Catalina Mackey	托马斯和卡塔丽娜马克基移民村
Ea. Maipú	迈普庄园
Villa Amelia	阿梅利亚镇
Cnia. Martín Mackey	马丁马克基移民村
Ea. Villa Rosarina	罗萨里纳庄园
Est. Bernard	贝尔纳尔德火车站
Pueblo Muñoz	穆尼奥斯镇
Coronel Dominguez	多明格斯上校镇
Carmen del Sauce	卡门德尔绍塞镇
Acebal	阿塞瓦尔村
Arminda	阿尔明达镇
Pueblo Uranga	乌兰加镇
Fighieta	菲格耶塔村
Chac. El Vasco	埃尔巴斯科村
A. Pavon	帕翁溪
Lag. Ezcyrdía	埃斯西尔迪亚湖
A. Masitas	马西塔斯溪
A. Los Bayos	洛斯巴约斯溪
Gilbert	希尔韦尔特村
Escriña	埃斯克里尼亚镇
Cnia. Escriñia	埃斯克里尼亚移民村
Colonia Santa Clara	圣克拉拉移民村
La Capilla	拉卡皮亚村
Cnia. Sta. Celia	塞利亚小姐移民村
Urdinarrain	乌尔迪纳赖恩村
Aldea Cnia. San Juan	圣胡安移民村
Cnia. Garbino	加尔维诺移民村
A. Los Rayos	洛斯拉约斯溪
A. San Alejo	圣阿莱霍溪
A. Mosqueira	莫斯克伊拉溪
Lag. d.l.Isla	伊斯拉湖
Lag. del Catalán	卡塔兰湖
A. del Medio	梅蒂奥溪
A. Ceballos	塞瓦约斯溪
A. Talitas	塔利塔斯溪
A. Las Toscas	拉斯托斯卡斯溪
A. Gualeyán	瓜莱扬溪
A. Doña Justa	唐娜胡斯塔溪
A. El Gato	埃尔加托溪
A. Salinas	萨利纳斯溪
Pastor Britos	帕斯托尔-布里托斯镇
Faustino Parera	福斯蒂诺帕雷拉镇
Alcaldía	阿尔卡尔迪亚村
Grl. Almada	阿尔马达镇
Cnia. Grané	格拉内移民村
Ea. El Coronel	埃尔科洛内尔庄园
Ea. Las Flores	拉斯弗洛雷斯庄园
Irasusta	伊拉苏斯塔镇
Ea. Sta. Gregoria	格雷戈里亚庄园
Cnia. Gdor. Basavilbaso	巴萨维尔瓦索统治者移民村
Larroque	拉罗克村
Barrio de la Costa	巴里奥-德拉科斯塔村
Pto. El Refugio	埃尔雷富西奥村
Cuchilla Redonda	库奇亚雷东达村
Establ. Santa Teresita	圣特雷西塔村
Establ. San Pedro	圣佩德罗村
Ea. La Modesta	拉莫德斯塔庄园
Ea. La Zaira	拉赛拉庄园
Establ. Santa Inés	埃斯塔夫雷西缅托-圣-伊内斯村
Establ. La Rubia	埃斯塔夫雷西缅托-拉-鲁维亚村
Ea. El Quebracho	埃尔克夫拉乔庄园
Ea. Nancay	楠凯庄园
Establ. La Constancia	埃斯塔夫雷西缅托-拉-孔斯坦西亚村
Alarcán	阿拉尔坎村
A. Veta	贝塔溪
A. Nacarra	纳卡拉溪
A. Pescado	佩斯卡多溪
Enrique Carbó	恩里克卡尔沃镇
Ea. La Faforita	拉法福里塔庄园
Ea. San Jacinto	圣哈辛托庄园
Pto. Paso Grande	大帕索村
Establ. San Antonio	埃斯塔夫雷西缅托-圣-安东尼奥村
Ea. Nueva	努埃瓦庄园
Lag. Morán	莫兰湖
Ea. Las Cuatro Hermanas	四姐妹庄园
Establ. Doña Joaquina	埃斯塔夫雷西缅托-唐娜-华金娜村
Establ. San Luis	埃斯塔夫雷西缅托-圣-路易斯村
Establ. San Pedro	埃斯塔夫雷西缅托-圣-佩德罗村
Pto. El Sauce	埃尔绍塞村
Establ. San Martín	埃斯塔夫雷西缅托-圣-马丁村
Ea. Retiro	雷蒂罗庄园
Establ. Las Achiras	埃斯塔夫雷西缅托-拉斯-阿奇拉斯村
Establ. La Entrerriana	拉恩特雷里亚纳村
Establ. La Media Agua	埃斯塔夫雷西缅托-拉-梅迪亚-阿瓜村
Establ. El Chacho	埃斯塔夫雷西缅托-埃尔-查乔村
A. Nancay	楠凯溪
A. Zanja El Cura	桑哈埃尔库拉溪
Potrero El Cinco	波特雷罗-埃尔-辛科村
Potrero Manantiales	波特雷罗-马南蒂亚莱斯村
Potrero Campo Grande	波特雷罗-坎波-格兰德
Ea. La Conchera de Flores	拉孔切拉-德弗洛雷斯庄园
Pto. Po. de las Vacas	巴卡斯山口村
Potrero 8	8号波特雷罗村
Pto. El Rico	埃尔里科村
Ea. La Totora	拉托托拉庄园
Ea. Monte Alto	上蒙特庄园
Ea. Los Rodeos	洛斯罗德奥斯庄园
Ea. El Cardal	埃尔卡尔达尔庄园
A. El Pato	埃尔帕托溪
R. Ibicuy	伊维奎河
Potrero 7	7号波特雷罗村
Ea. La Matrera	拉马特雷拉庄园
Ea. El Capricho	埃尔卡普里乔庄园
Lag. La Bandera	拉班的拉湖
Ea. El Farol	埃尔法罗尔庄园
Potrero El Gallego	波特雷罗-埃尔-加耶戈村
Médanos	梅达诺斯镇
A. El Galleguito	埃尔加耶吉托溪
R. Paranacita	帕拉纳西塔河
A. San Julía	圣胡利亚溪
Mazaruca	马萨鲁卡镇
Pto. El Cuatro	埃尔夸特罗村
Ea. El Resuello	埃尔雷苏埃约庄园
Ea. Ibicuy Grande	大伊维奎庄园
Ibicuy	伊维奎村
Est. Holt	奥尔特火车站
Pto. Ibicuy	伊维奎村
Pto. La Tortuga	拉托尔图加村
Pto. El Varillal	埃尔巴里亚尔村
Ea. San Hosé	圣奥塞庄园
A. Baltazur	巴尔塔苏尔溪
Tapera López	塔佩拉洛佩斯
Emb. Fernández	费尔南德斯水库
Est. Paranacito	帕拉纳西托火车站
A. Tigre	蒂格雷溪
A. Sagastume	萨加斯图梅溪
A. Coria	科里亚溪
A. del Toro	托罗溪
A. Ibicuycito	伊维奎西托溪
A. Brazo Largo	长布拉索溪
A. Brazo Chico	小布拉索溪
Ea. Ceibo Grande	大塞沃庄园
Ea. El Chajá	埃尔查哈庄园
Ea. El Estero	埃尔埃斯特罗庄园
Ea. La Taza	拉塔萨庄园
Pto. Malabrigo	马拉夫里戈村
Ceibas	塞瓦斯村
Establ. El Algarrobo	埃斯塔夫雷西缅托-埃尔-阿尔加罗沃村
Arroyo Sagastume Grande	大萨加斯图梅溪村
Villa Paranacito	帕拉纳西托市
Aeroclub Islas del Ibicuy	伊斯拉斯-德尔伊维奎航空俱乐部
Establ. Isla Don Antonio	埃斯塔夫雷西缅托-伊斯拉-唐-安东尼奥村
I.de las Hermanas	姐妹岛
Islas de Obligado	奥夫利加多群岛
A. de Cruz	克鲁斯溪
Rcho. de Obligado	奥夫利加多溪
El Paraíso	埃尔帕赖索镇
Ea. Río Paraná	里奥帕拉纳庄园
Gobernador Castro	卡斯特罗统治者村
La Matilde	拉马蒂尔德村
Alm. El Cantábrico	埃尔坎塔夫里科仓库
Celulosa Jujuy	塞鲁洛萨胡惠村
Río Tala	里奥塔拉村
Establ. C.A.I.S.A.	埃斯塔夫雷西缅托
Ea. Yerbabuena	耶尔瓦夫埃纳庄园
Almar. S.A.C.	阿尔马尔
La Buena Moza	拉布埃纳莫萨村
Alm. del Centro	森特罗仓库
San Patricios	圣帕特里溪奥斯村
Los Patricios	洛斯-帕特里西奥斯村
Ea. Suc. J. Plana	普拉纳庄园
Ea. El Olvido	埃尔奥尔维多庄园
Betti Baradero	贝蒂巴拉德罗村
Rcho. Pintos	平托斯溪
Puerto Baradero	普埃尔托-巴拉德罗村
Química Rhodia	基米卡罗迪亚村
Ea. María Elena	玛利亚埃莱娜庄园
Alm. La Tortuga	拉托尔图加仓库
Baradero	巴拉德罗市
Ea. Los Alamos	洛斯阿拉莫斯庄园
I. Romero	罗密欧岛
Ea. Orlando	奥尔兰多庄园
I. Florida	弗洛里达岛
I. Pelada	佩拉达岛
I. Almeria	阿尔梅里亚岛
Ea. Sta. Eloisa	埃洛伊萨小姐庄园
Cda. de Tigre	蒂格雷
Cda. Grande	格兰德
A. Sta. María	玛利亚小姐溪
Cda. de las Achiras	阿奇拉斯
A. Colman	科尔曼溪
A. La Chiva	拉奇瓦溪
R. Gualeguaychú	瓜莱瓜伊丘河
A. Gena	赫纳溪
A. El Sauce	埃尔绍塞溪
A. Planes	普拉内斯溪
Cda. San Pedro	圣佩德罗
A. Centella	森特亚溪
A. Isletas	伊斯莱塔斯溪
A. Potrero	波特雷罗溪
Ea. Sta. María	玛利亚小姐村
Va. San Miguel	圣米格尔村
Est. Herrera	埃雷拉火车站
Caseros	卡塞罗斯村
Palacio San José	帕拉西奥圣何塞村
Pronunciamiento	普罗嫩西亚缅托村
Quinto Ensanche	金托恩桑切村
Ap. Arroyo Urquiza	阿罗约乌尔基萨
Villa San Justo	圣胡斯托镇
Colonia San Justo	圣胡斯托移民村
Concepción del Uruguay	孔塞普西翁-德尔乌拉圭市
I. Garibaldi	加里瓦尔迪岛
La Sesteada	拉塞斯特阿达村
Ea. Mugherli	穆赫尔利庄园
Puente Taboada	塔沃阿达桥
Talita	塔利塔村
I. Canario	卡纳里奥岛
I. Cambacúa	坎巴夸岛
I. Vilardebó	比拉尔德沃岛
I. Montaña	蒙塔尼亚岛
I. Dos Hermanas	两姐妹岛
I. Campichuelo	坎皮丘埃洛岛
I. San Miguel	圣米格尔岛
Pt. Campichuelo	坎皮丘埃洛桥
Colonia Elía	埃利亚移民镇
Pto. Vigilante	比希兰特村
Ea. La Mechita	拉梅奇塔庄园
Ea. El Sauce	埃尔绍塞庄园
Colonia Oficial N°6	6号官方移民村
Ea. Cheto	切托庄园
Cnia. Sta. Ana	安娜小姐移民村
Cnia. Mugherli	穆赫尔利移民村
Cnia. Los Ceibos	洛斯塞沃斯移民村
Ea. Centella	森特亚庄园
Pt. Cupalén	库帕伦桥
I. Cupalen	库帕伦岛
I. Colón Grande	大科隆岛
I. Román Grande	大罗曼岛
I. Basura	巴苏拉岛
I. del Burro	布罗岛
I. Filomena Grande	大菲洛梅纳岛
I. García	加尔西亚岛
I. Masones	马索内斯岛
I. Sta. María Grande	大玛利亚小姐岛
I. Zapatero	萨帕特罗岛
I. Caballos	卡瓦约斯岛
I. de la Caballada	卡瓦亚达岛
Pto. Sta. Clara	克拉拉小姐村
A. Genacito	赫纳西托溪
Aldea San Antonio	圣安东尼奥镇
Alm. El Mestizo	埃尔梅斯蒂索仓库
Rincón de Cinto	辛托三角洲
A. Tamberos	坦贝罗斯溪
Ea. Tamberos	坦贝罗斯庄园
Ea. 18 de Noviembre	11月18日庄园
A. Pantanoso	潘塔诺索溪
Pto. Los Perros	洛斯佩罗斯村
A. García	加尔西亚溪
A. Batiel	巴铁尔溪
Est. Palavecino	帕拉韦西诺火车站
Cnia. La Solitaria	拉索利塔里亚移民村
Colonia Potrero	波特雷罗移民村
Pto. La Concepción	拉孔塞普西翁村
A. Abrojal	阿夫罗哈尔溪
A. La Verde	拉贝尔德溪
Gualeguaychú	瓜莱瓜伊丘市
Aeroclub Gualeguaychú	瓜莱瓜伊丘航空俱乐部
Rincón de las Garzas	加尔塞斯三角洲
Puente Internacional Lib. Grl. San Martín	解放者圣马丁将军国际桥
I. Laurel	劳雷尔岛
I. Inés Dorrego	伊内斯多雷戈岛
I. Lorenzo	洛伦索岛
P. Larga	拉尔加
Ea. La Amelita	拉阿梅利塔庄园
Establ. El Sauce	埃斯塔夫雷西缅托-埃尔-绍塞村
Ea. Juanicó	华尼科庄园
Ea. Punta Caballos	蓬塔卡瓦约斯庄园
Ea. Las Cruces	拉斯克鲁塞斯庄园
Ea. Rincón de Landa	林孔德兰达庄园
Pto. Blanco	布兰科村
A. Conchera	孔切拉溪
Pesquería La Criolla	佩斯克里亚-拉-克里奥亚村
Pesquería La Primera	佩斯克里亚-拉-普里梅拉村
Pesquería Diamantino	佩斯克里亚-迪亚曼蒂诺村
I. del Vizcaíno(Ur.)	比斯凯诺岛
I. Lobos(Ur.)	洛沃斯岛
Ea. El Dragón	埃尔德拉贡庄园
Vuelta Paleta	布埃尔塔帕莱塔村
Ea. Sta. Ursula	乌尔苏拉小姐庄园
Arroyo Hondo	阿罗约翁多村
Ea. Sto. Grande	格兰德先生庄园
Establ. Las Animas	埃斯塔夫雷西缅托-拉斯-阿尼马斯村
Cabo 1°Virtuani	卡沃-1号-比尔图阿尼村
Boca del Ñancay	尼扬凯河口
Boca del Mosquito	莫斯基托河口
A. Sagastume Chico	小萨加斯图梅溪
A. La Tinta	拉延塔溪
R. Paranacito	帕拉纳西托河
A. Brazo Largo	布拉索拉尔戈溪
R. Gutiérrez	古铁雷斯河
R. Salinillas	萨利尼亚斯河
Hito XⅡ2 Po. de Nieves Negras	涅韦斯内格拉斯2号山口十二山
Hito XⅡ1 Port. de Colina	科利纳1号山口十二山
Co. Colina	科利纳山
Co. Lola	洛拉山
Port. Pedernales	佩德尔纳莱斯山口
Co. Guanaco	瓜纳科山
Co. de la Paloma	帕洛马山
Co. Pico Colorado	皮科科洛拉多山
Co. Colorado	科罗拉多山
Port. El Toscal	埃尔托斯卡尔山口
Co. Papal	帕帕尔山
Port. de la Yesera	耶塞拉山口
Port. del Viento	比恩托山口
A. Papal	帕帕尔溪
Co. El Duraznito	埃尔杜拉斯尼托山
Port. del Papal	帕帕尔山口
Port. El Durazno	埃尔杜拉斯诺山口
Co. Gorro	戈罗山
Port. Las Numeradas	拉斯努梅拉达斯山口
Pampa de la Laguna	拉古纳草原
Co. Alvarado	阿尔瓦拉多山
Hito XⅠ 38 Po. de Alvalado(Sur)	38号阿尔瓦拉多山口十一山（南）
Hito XⅠ 40 Po. de Alvalado(Norte)	40号阿尔瓦拉多山口十一山（北）
Hito XⅠ 39 Po. de Alvalado(Centro)	39号阿尔瓦拉多山口十一山（中央）
Ref. Los Paramillos	洛斯帕拉米约斯村
A. de los Papagayos	帕帕加约斯溪
Reserva Laguna del Diamante	迪亚曼特自然保护湖区
Vn. Maipo	迈波村
Hito XⅠ 37 Po. de Maipo	37号迈波山口十一山
Hito XⅠ 36 Port. Oriental de Río Bayo	36号里奥巴约东部山口十一山
Po. Plomo	普洛莫山口
Hito XⅠ 35 Po. de Río Bayo	35号里奥巴约山口十一山
Hito XⅠ 34 Port. Occidental de Río Bayo	34号里奥巴约西部山口十一山
Hito XⅠ 32 Po. de la Cruz de Piedra	32号克鲁斯德彼德拉山口十一山
Hito XⅠ 33 Port. de la Cruz de Piedra	33号克鲁斯德彼德拉山口十一山
Cdón de Eje	埃赫山
Co. del Arroyo del Salto	阿罗约-德尔萨尔托山
Morro de Cuero	库埃罗山
A. Morro	莫罗溪
R. Horbollón	奥尔沃永河
Co. Plomo	普洛莫山
Hullera Brillante	乌耶拉布里扬特矿
Hito XⅠ 31 Po. de Molina	31号莫利纳山口十一山
Co. Mesón Negro	梅松内格罗山
Hito XⅠ 30 Po. de las Lenas	30号莱纳斯山口十一山
Port. del Bravo	布拉沃山口
R. Barroso	巴罗索河
A. Bravo	布拉沃溪
Co. La Isla o Chacallal	拉伊斯拉山（查卡亚尔山）
Co. de los Chorros	乔罗斯山
Bajada de los Chilenos	奇莱诺斯坡
Co. Volcán Overo	博尔坎奥韦罗山
El Angulo	埃尔安古洛村
Co. La Vega de Revequina	拉贝加-德雷韦基纳山
Co. Media Luna	梅迪亚卢纳山
Co. Vega de Las Yeguas	贝加-德拉斯耶瓜斯山
Co. Gaucho	高乔山
Co. Malo	马洛山
Co. Los Gateados	洛斯加特阿多斯山
Port. de las Lágrimas	拉格里马斯山口
Co. El Rosillo	埃尔罗西约山
Adm. Refinería de Azufre	雷菲内里亚-德阿苏夫雷
Co. El Calabozo	埃尔卡拉沃索山
Co. Negro del Cajón del Medio	内格罗-德尔卡洪-德尔梅迪奥山
Co. Negro del Colorado	内格罗-德尔科洛拉多山
Co. Sosneado	索斯内阿多山
Lag. El Sosneado	埃尔索斯内阿多湖
Co. Tres Lagunas	特雷斯拉古纳斯山
Mina La Eloisa	拉埃洛伊萨矿
Co. Mesón de Adentro	梅松德阿登特罗山
Mina Grl. Roca	罗卡将军矿
Co. de la Tordilla	托尔迪亚山
Co. Vega del Rincón	贝加德尔林孔山
Mina Grl. Mitre	米特雷将军矿
Mina Roca	罗卡矿
Pto. Vega del Burro	贝加德尔布罗村
Pto. La Manga	拉曼加村
Co. Laguna Amarga	拉古纳阿马尔加山
Co. Nacimiento de los Rocillos	纳西缅托-德洛斯罗西约斯山
Co. Loma Laguna Seca	洛马拉古纳塞卡山
Cord. de la Tristeza	特里斯特萨山
Co. Agua de Eusebio	阿瓜-德埃乌塞维奥山
Pto. Agua Escondida	阿瓜埃斯孔迪达村
El Sosneado	埃尔索斯内阿多镇
Est. El Sosneado	埃尔索斯内阿多火车站
Hito XⅠ 28 A Port. al Sudoeste del Port. de las Lágrimas	拉格里马斯山口西南山口28号十一山峰
Cos. Amarillos	阿马里约斯群山
A. Cajón del Burro	卡洪德尔布罗溪
Co. Los Pantanos	洛斯潘塔诺斯山
Co. El Mono	埃尔莫诺山
Hito XⅠ 28 Po. de las Damas	达马斯28号山口十一山峰
Co. Las Choicas	拉斯乔伊卡斯山
Co. Orejas	奥雷哈斯山
Co. El Horno	埃尔奥尔诺山
